Country,Total Exports Value ($US),Customs Import Value (Gen) ($US),Month,Year
Albania,"4,069,120","3,929,167",May,2020
Albania,"5,170,431","3,942,424",Jun,2020
Albania,"3,908,877","3,974,596",Jul,2020
Albania,"3,768,102","2,926,449",Aug,2020
Albania,"6,114,889","5,041,302",Sep,2020
Albania,"4,972,962","3,577,745",Oct,2020
Albania,"4,351,515","4,075,161",Nov,2020
Albania,"4,698,150","4,806,225",Dec,2020
Albania,"6,496,800","4,015,951",Jan,2021
Albania,"10,330,849","3,872,881",Feb,2021
Albania,"8,126,016","6,831,700",Mar,2021
Albania,"7,408,864","5,664,926",Apr,2021
Albania,"11,131,743","6,356,641",May,2021
Albania,"15,971,440","4,832,868",Jun,2021
Albania,"10,237,069","9,387,864",Jul,2021
Albania,"7,062,583","4,880,438",Aug,2021
Albania,"4,279,437","4,036,984",Sep,2021
Albania,"5,136,688","5,624,835",Oct,2021
Albania,"6,104,041","5,119,443",Nov,2021
Albania,"5,572,787","6,320,432",Dec,2021
Albania,"3,937,997","5,425,520",Jan,2022
Albania,"7,844,817","9,061,340",Feb,2022
Albania,"15,600,516","7,123,859",Mar,2022
Albania,"8,324,995","26,481,587",Apr,2022
Albania,"10,097,623","7,722,780",May,2022
Albania,"10,457,203","6,049,698",Jun,2022
Albania,"16,601,905","8,663,123",Jul,2022
Albania,"5,417,389","7,520,699",Aug,2022
Albania,"3,812,108","8,935,710",Sep,2022
Albania,"6,934,444","41,987,569",Oct,2022
Albania,"7,763,269","7,552,528",Nov,2022
Albania,"10,489,352","8,296,599",Dec,2022
Albania,"12,455,196","9,660,383",Jan,2023
Albania,"7,348,158","7,202,732",Feb,2023
Albania,"10,231,946","7,792,729",Mar,2023
Albania,"14,575,757","5,533,999",Apr,2023
Albania,"12,465,066","4,849,979",May,2023
Albania,"10,836,616","6,602,259",Jun,2023
Albania,"8,188,082","6,891,201",Jul,2023
Albania,"11,432,536","7,319,492",Aug,2023
Albania,"9,734,770","5,096,311",Sep,2023
Albania,"16,513,267","6,798,432",Oct,2023
Albania,"9,290,130","4,212,988",Nov,2023
Albania,"10,395,887","5,426,248",Dec,2023
Algeria,"148,801,495","270,374,533",Jan,2015
Algeria,"102,888,388","257,699,472",Feb,2015
Algeria,"151,552,091","153,345,983",Mar,2015
Algeria,"103,750,966","292,526,270",Apr,2015
Algeria,"141,027,690","432,227,096",May,2015
Algeria,"169,302,090","327,855,090",Jun,2015
Algeria,"212,357,883","345,691,338",Jul,2015
Algeria,"101,042,278","314,235,723",Aug,2015
Algeria,"244,154,912","349,386,121",Sep,2015
Algeria,"148,642,519","259,913,157",Oct,2015
Algeria,"193,639,872","227,690,857",Nov,2015
Algeria,"158,572,585","140,602,129",Dec,2015
Algeria,"110,650,323","168,226,627",Jan,2016
Algeria,"285,714,807","159,118,666",Feb,2016
Algeria,"52,805,752","232,725,227",Mar,2016
Algeria,"138,178,998","222,696,807",Apr,2016
Algeria,"330,742,076","187,465,912",May,2016
Algeria,"155,143,991","279,049,760",Jun,2016
Algeria,"167,080,569","267,634,055",Jul,2016
Algeria,"191,408,029","256,045,371",Aug,2016
Algeria,"149,056,049","226,869,521",Sep,2016
Algeria,"252,515,606","409,373,889",Oct,2016
Algeria,"142,726,722","539,515,117",Nov,2016
Algeria,"215,238,703","279,199,220",Dec,2016
Algeria,"49,928,940","497,476,342",Jan,2017
Algeria,"91,809,233","348,126,033",Feb,2017
Algeria,"119,964,041","356,505,376",Mar,2017
Algeria,"130,791,418","243,415,425",Apr,2017
Algeria,"159,018,002","274,282,540",May,2017
Algeria,"91,823,174","374,339,401",Jun,2017
Algeria,"77,988,503","335,584,048",Jul,2017
Algeria,"53,161,357","391,615,316",Aug,2017
Algeria,"63,498,497","268,880,794",Sep,2017
Algeria,"72,530,761","226,555,060",Oct,2017
Algeria,"61,090,481","187,824,692",Nov,2017
Algeria,"90,747,686","305,916,841",Dec,2017
Algeria,"40,349,752","442,631,252",Jan,2018
Algeria,"72,725,756","351,340,957",Feb,2018
Algeria,"94,257,205","270,571,583",Mar,2018
Algeria,"80,096,676","445,432,761",Apr,2018
Algeria,"80,030,772","313,721,334",May,2018
Algeria,"161,436,302","254,767,927",Jun,2018
Algeria,"50,690,711","497,423,369",Jul,2018
Algeria,"34,686,336","439,605,896",Aug,2018
Algeria,"160,440,899","413,367,138",Sep,2018
Algeria,"181,671,345","479,557,348",Oct,2018
Algeria,"156,608,612","274,544,105",Nov,2018
Algeria,"148,040,047","435,386,335",Dec,2018
Algeria,"32,671,090","208,838,732",Jan,2019
Algeria,"51,162,771","107,859,568",Feb,2019
Algeria,"91,307,965","381,455,197",Mar,2019
Algeria,"52,724,410","345,600,860",Apr,2019
Algeria,"141,292,676","451,526,567",May,2019
Algeria,"122,467,553","279,399,385",Jun,2019
Algeria,"150,684,082","179,324,794",Jul,2019
Algeria,"100,195,440","142,459,200",Aug,2019
Algeria,"30,662,509","143,038,326",Sep,2019
Algeria,"47,022,715","106,796,568",Oct,2019
Algeria,"85,369,576","86,657,616",Nov,2019
Algeria,"94,907,172","46,572,644",Dec,2019
Algeria,"74,432,838","99,430,916",Jan,2020
Algeria,"37,241,955","71,980,243",Feb,2020
Algeria,"86,988,621","41,808,744",Mar,2020
Algeria,"65,314,476","55,160,493",Apr,2020
Algeria,"70,538,390","20,518,609",May,2020
Algeria,"51,792,004","13,316,558",Jun,2020
Algeria,"54,424,803","27,512,319",Jul,2020
Algeria,"82,074,639","14,946,068",Aug,2020
Algeria,"88,803,373","24,702,855",Sep,2020
Algeria,"33,847,468","8,541,443",Oct,2020
Algeria,"55,923,797","28,186,377",Nov,2020
Algeria,"33,477,898","82,055,688",Dec,2020
Algeria,"95,366,599","75,449,126",Jan,2021
Algeria,"84,790,626","107,058,928",Feb,2021
Algeria,"77,466,534","205,134,955",Mar,2021
Algeria,"47,957,543","201,694,133",Apr,2021
Algeria,"72,347,644","117,559,552",May,2021
Algeria,"76,677,964","120,947,140",Jun,2021
Algeria,"33,931,732","197,914,579",Jul,2021
Algeria,"39,412,045","101,338,663",Aug,2021
Algeria,"49,241,751","106,382,362",Sep,2021
Algeria,"41,645,848","230,025,691",Oct,2021
Algeria,"71,441,640","248,788,029",Nov,2021
Algeria,"94,085,386","175,729,387",Dec,2021
Algeria,"197,585,942","80,823,397",Jan,2022
Algeria,"62,678,422","135,495,796",Feb,2022
Algeria,"84,653,114","201,857,089",Mar,2022
Algeria,"169,253,498","241,713,626",Apr,2022
Algeria,"48,838,962","377,600,581",May,2022
Algeria,"54,822,418","313,922,271",Jun,2022
Algeria,"98,839,319","448,447,900",Jul,2022
Algeria,"89,326,183","244,807,461",Aug,2022
Algeria,"143,430,132","156,716,499",Sep,2022
Algeria,"81,658,026","194,973,816",Oct,2022
Algeria,"104,314,842","458,741,235",Nov,2022
Algeria,"62,911,496","153,726,510",Dec,2022
Algeria,"132,212,812","214,488,863",Jan,2023
Algeria,"105,234,453","220,781,113",Feb,2023
Algeria,"106,869,379","132,293,389",Mar,2023
Algeria,"63,819,390","360,427,568",Apr,2023
Algeria,"95,314,713","303,614,344",May,2023
Algeria,"87,838,523","238,421,899",Jun,2023
Algeria,"35,448,939","296,252,339",Jul,2023
Algeria,"39,972,029","307,499,258",Aug,2023
Algeria,"167,029,124","365,721,327",Sep,2023
Algeria,"88,423,358","248,119,152",Oct,2023
Algeria,"169,942,266","167,572,010",Nov,2023
Algeria,"109,662,710","173,894,578",Dec,2023
Andorra,"92,235","63,104",Jan,2015
Andorra,"347,733","94,746",Feb,2015
Andorra,"183,636","46,852",Mar,2015
Andorra,"245,464","62,117",Apr,2015
Andorra,"102,130","1,070,734",May,2015
Andorra,"165,087","234,911",Jun,2015
Andorra,"95,778","95,804",Jul,2015
Andorra,"100,264","138,586",Aug,2015
Andorra,"288,686","1,266,326",Sep,2015
Andorra,"419,419","443,419",Oct,2015
Andorra,"389,285","318,537",Nov,2015
Andorra,"907,100","1,012,821",Dec,2015
Andorra,"695,077","1,533,577",Jan,2016
Andorra,"110,546","202,557",Feb,2016
Andorra,"527,495","459,278",Mar,2016
Andorra,"228,854","86,018",Apr,2016
Andorra,"160,834","563,012",May,2016
Andorra,"187,663","223,404",Jun,2016
Andorra,"185,697","1,717,816",Jul,2016
Andorra,"164,252","34,340",Aug,2016
Andorra,"151,042","95,125",Sep,2016
Andorra,"87,982","11,592",Oct,2016
Andorra,"125,559","31,678",Nov,2016
Andorra,"205,267","1,651,672",Dec,2016
Andorra,"421,211","922,783",Jan,2017
Andorra,"633,296","948,830",Feb,2017
Andorra,"236,694","852,013",Mar,2017
Andorra,"167,562","826,350",Apr,2017
Andorra,"131,663","1,245,786",May,2017
Andorra,"190,980","847,767",Jun,2017
Andorra,"459,027","1,099,496",Jul,2017
Andorra,"155,631","87,025",Aug,2017
Andorra,"351,256","133,061",Sep,2017
Andorra,"206,732","1,966,283",Oct,2017
Andorra,"168,550","2,356,843",Nov,2017
Andorra,"162,565","2,407,133",Dec,2017
Andorra,"73,924","1,922,476",Jan,2018
Andorra,"299,989","1,029,162",Feb,2018
Andorra,"188,959","652,598",Mar,2018
Andorra,"330,177","1,239,501",Apr,2018
Andorra,"290,289","1,801,628",May,2018
Andorra,"456,011","1,256,210",Jun,2018
Andorra,"256,663","386,450",Jul,2018
Andorra,"175,516","1,054,920",Aug,2018
Andorra,"129,645","374,644",Sep,2018
Andorra,"206,892","85,511",Oct,2018
Andorra,"399,678","2,106,464",Nov,2018
Andorra,"258,019","4,105,453",Dec,2018
Andorra,"281,782","2,076,330",Jan,2019
Andorra,"273,624","2,260,176",Feb,2019
Andorra,"261,941","2,203,815",Mar,2019
Andorra,"91,338","3,265,985",Apr,2019
Andorra,"481,404","37,580",May,2019
Andorra,"352,395","574,223",Jun,2019
Andorra,"185,017","190,778",Jul,2019
Andorra,"183,377","175,492",Aug,2019
Andorra,"342,500","215,795",Sep,2019
Andorra,"455,169","551,140",Oct,2019
Andorra,"241,753","237,948",Nov,2019
Andorra,"200,086","343,264",Dec,2019
Andorra,"392,320","112,855",Jan,2020
Andorra,"936,877","1,998,220",Feb,2020
Andorra,"681,864","152,763",Mar,2020
Andorra,"29,242","18,312",Apr,2020
Andorra,"359,142","1,735,443",May,2020
Andorra,"138,002","45,980",Jun,2020
Andorra,"269,867","157,826",Jul,2020
Andorra,"241,026","255,231",Aug,2020
Andorra,"330,564","298,820",Sep,2020
Andorra,"75,544","204,096",Oct,2020
Andorra,"48,075","327,973",Nov,2020
Andorra,"181,558","143,344",Dec,2020
Andorra,"170,371","1,034,922",Jan,2021
Andorra,"262,826","907,942",Feb,2021
Andorra,"51,026","253,642",Mar,2021
Andorra,"525,811","120,492",Apr,2021
Andorra,"753,830","1,800,062",May,2021
Andorra,"270,769","201,378",Jun,2021
Andorra,"292,143","631,869",Jul,2021
Andorra,"1,251,744","418,378",Aug,2021
Andorra,"243,564","716,801",Sep,2021
Andorra,"190,151","254,043",Oct,2021
Andorra,"292,674","1,180,082",Nov,2021
Andorra,"385,314","560,936",Dec,2021
Andorra,"452,984","217,365",Jan,2022
Andorra,"473,493","191,549",Feb,2022
Andorra,"574,305","545,863",Mar,2022
Andorra,"150,376","510,789",Apr,2022
Andorra,"298,962","769,029",May,2022
Andorra,"252,779","3,134,956",Jun,2022
Andorra,"220,285","870,333",Jul,2022
Andorra,"345,467","759,301",Aug,2022
Andorra,"274,978","868,593",Sep,2022
Andorra,"76,212","796,672",Oct,2022
Andorra,"226,955","226,502",Nov,2022
Andorra,"164,659","853,602",Dec,2022
Andorra,"412,624","365,408",Jan,2023
Andorra,"469,777","341,609",Feb,2023
Andorra,"579,202","50,049,213",Mar,2023
Andorra,"922,706","551,485",Apr,2023
Andorra,"437,250","510,400",May,2023
Andorra,"249,756","314,406",Jun,2023
Andorra,"747,120","227,385",Jul,2023
Andorra,"629,178","70,889",Aug,2023
Andorra,"492,779","264,183",Sep,2023
Andorra,"518,106","204,802",Oct,2023
Andorra,"487,042","287,501",Nov,2023
Andorra,"91,902","319,893",Dec,2023
Angola,"80,047,838","161,340,408",Jan,2015
Angola,"115,111,795","225,371,497",Feb,2015
Angola,"99,466,251","220,282,608",Mar,2015
Angola,"140,204,056","165,731,103",Apr,2015
Angola,"123,133,611","194,300,059",May,2015
Angola,"104,178,139","213,917,401",Jun,2015
Angola,"104,233,966","260,622,150",Jul,2015
Angola,"96,502,659","165,860,042",Aug,2015
Angola,"104,121,140","385,199,845",Sep,2015
Angola,"76,733,903","252,897,815",Oct,2015
Angola,"84,859,262","339,519,263",Nov,2015
Angola,"37,502,187","221,452,692",Dec,2015
Angola,"191,637,330","212,864,684",Jan,2016
Angola,"65,957,183","181,299,545",Feb,2016
Angola,"84,976,002","192,375,113",Mar,2016
Angola,"226,418,833","232,977,022",Apr,2016
Angola,"40,956,921","278,021,610",May,2016
Angola,"55,435,792","176,995,748",Jun,2016
Angola,"47,750,051","400,178,606",Jul,2016
Angola,"46,756,814","278,510,406",Aug,2016
Angola,"240,394,326","260,676,837",Sep,2016
