Commodity,flow,series_id
31135X Chocolate And Confectionery From Cacao Beans Produ,export,241
31135X Chocolate And Confectionery From Cacao Beans Produ,import,242
3114 Fruits & Veg Preserves & Specialty Foods,export,243
3114 Fruits & Veg Preserves & Specialty Foods,import,244
31141 Frozen Foods,export,245
31141 Frozen Foods,import,246
"311411 Frozen Fruits, Juices & Vegetables",export,247
"311411 Frozen Fruits, Juices & Vegetables",import,248
311412 Frozen Specialty Food,export,249
311412 Frozen Specialty Food,import,250
31142 Fruits & Vegetables,export,251
31142 Fruits & Vegetables,import,252
311421 Fruits & Vegetables Preserved,export,253
311421 Fruits & Vegetables Preserved,import,254
311422 Specialty Canned Foods,export,255
311422 Specialty Canned Foods,import,256
311423 Dried & Dehydrated Foods,export,257
311423 Dried & Dehydrated Foods,import,258
3115 Dairy Products,export,259
3115 Dairy Products,import,260
31151 Dairy Products (exc Frozen),export,261
31151 Dairy Products (exc Frozen),import,262
"311511 Fluid Milk, Cream & Related Products",export,263
"311511 Fluid Milk, Cream & Related Products",import,264
311512 Creamery Butter,export,265
311512 Creamery Butter,import,266
311513 Cheese,export,267
311513 Cheese,import,268
"311514 Dry, Condensed, And Evaporated Dairy Products",export,269
"311514 Dry, Condensed, And Evaporated Dairy Products",import,270
31152 Ice Cream & Frozen Desserts,export,271
31152 Ice Cream & Frozen Desserts,import,272
311520 Ice Cream & Frozen Desserts,export,273
311520 Ice Cream & Frozen Desserts,import,274
3116 Meat Products & Meat Packaging Products,export,275
3116 Meat Products & Meat Packaging Products,import,276
31161 Meat Products & Meat Packaging Products,export,277
31161 Meat Products & Meat Packaging Products,import,278
311611 Meat Products (exc Poultry),export,279
311611 Meat Products (exc Poultry),import,280
"311613 Animal Fats, Oils & By-products",export,281
"311613 Animal Fats, Oils & By-products",import,282
"311615 Poultry, Prepared Or Preserved",export,283
"311615 Poultry, Prepared Or Preserved",import,284
"3117 Seafood Prods, Prepared, Canned & Packaged",export,285
"3117 Seafood Prods, Prepared, Canned & Packaged",import,286
"31171 Seafood Prods, Prepared, Canned & Packaged",export,287
"31171 Seafood Prods, Prepared, Canned & Packaged",import,288
"311710 Seafood Prods, Prepared, Canned & Packaged",export,289
"311710 Seafood Prods, Prepared, Canned & Packaged",import,290
3118 Bakery & Tortilla Products,export,291
3118 Bakery & Tortilla Products,import,292
31181 Bread & Bakery Products,export,293
31181 Bread & Bakery Products,import,294
31181X Bread & Bakery Products,export,295
31181X Bread & Bakery Products,import,296
"31182 Flour Mixes, Dough & Pasta",export,297
"31182 Flour Mixes, Dough & Pasta",import,298
"311824 Dry Pasta, Dough, And Flour Mixes From Purch Flour",export,299
"311824 Dry Pasta, Dough, And Flour Mixes From Purch Flour",import,300
"3119 Foods, Nesoi",export,301
"3119 Foods, Nesoi",import,302
31191 Snack Foods,export,303
31191 Snack Foods,import,304
311911 Roasted Nuts & Peanut Butter,export,305
311911 Roasted Nuts & Peanut Butter,import,306
311919 Other Snack Foods,export,307
311919 Other Snack Foods,import,308
31192 Coffee & Tea,export,309
31192 Coffee & Tea,import,310
311920 Coffee & Tea,export,311
311920 Coffee & Tea,import,312
31193 Flavoring Extracts & Syrups,export,313
31193 Flavoring Extracts & Syrups,import,314
311930 Flavoring Extracts & Syrups,export,315
311930 Flavoring Extracts & Syrups,import,316
"31194 Seasonings, Dressings & Other Prep'd Sauces",export,317
"31194 Seasonings, Dressings & Other Prep'd Sauces",import,318
"311941 Mayonnaise, Dressings & Oth Prepared Sauces",export,319
"311941 Mayonnaise, Dressings & Oth Prepared Sauces",import,320
311942 Spices & Extracts,export,321
311942 Spices & Extracts,import,322
"31199 Other Foods, Nesoi",export,323
"31199 Other Foods, Nesoi",import,324
311991 Perishable Prepared Food,export,325
311991 Perishable Prepared Food,import,326
"311999 Other Foods, Nesoi",export,327
"311999 Other Foods, Nesoi",import,328
312 Beverages & Tobacco Products,export,329
312 Beverages & Tobacco Products,import,330
3121 Beverages,export,331
3121 Beverages,import,332
31211 Soft Drinks & Ices,export,333
31211 Soft Drinks & Ices,import,334
312111 Soft Drinks,export,335
312111 Soft Drinks,import,336
312112 Bottled Waters,export,337
312112 Bottled Waters,import,338
312113 Ice,export,339
312113 Ice,import,340
31212 Malt & Beer,export,341
31212 Malt & Beer,import,342
312120 Malt And Beer,export,343
312120 Malt And Beer,import,344
"31213 Wines, Brandy, And Brandy Spirits",export,345
"31213 Wines, Brandy, And Brandy Spirits",import,346
"312130 Wines, Brandy, And Brandy Spirits",export,347
