Commodity,flow,mu,sd
3111 Animal Foods,export,19.472727246658007,0.1668120140950157
3111 Animal Foods,import,18.85354698624394,0.30534589541982055
31111 Animal Foods,export,19.472727246658007,0.1668120140950157
31111 Animal Foods,import,18.85354698624394,0.30534589541982055
311111 Dog & Cat Foods,export,18.770136883629686,0.252372981700761
311111 Dog & Cat Foods,import,18.328037343647278,0.35394441645625485
311119 Other Animal Foods,export,18.77879580199456,0.10768885240673538
311119 Other Animal Foods,import,17.948414244917927,0.25876331786820334
3112 Grain & Oilseed Milling Products,export,20.852182491095082,0.12898843164778614
3112 Grain & Oilseed Milling Products,import,20.810194955093294,0.257226620794664
31121 Flour & Malt,export,19.097422251355844,0.13050191919647294
31121 Flour & Malt,import,19.185598510159394,0.2132034717279961
311211 Flour & Other Grain Mill Products,export,17.914180840048353,0.14923321597412598
311211 Flour & Other Grain Mill Products,import,18.533100807636377,0.2440266386971944
311212 Milled Rice & By-products,export,18.575324888005852,0.18986198691165387
311212 Milled Rice & By-products,import,18.180938350058096,0.2624464508372242
311213 Malts,export,16.726368515587872,0.19551599193283464
311213 Malts,import,16.942921952553018,0.1312320505602723
31122 Starch & Vegetable Fats & Oils,export,20.59435899796323,0.15370399952076186
31122 Starch & Vegetable Fats & Oils,import,20.523529722807535,0.28013720008381493
311221 Wet Corn Milling Products,export,19.071212626295175,0.14969087280052165
311221 Wet Corn Milling Products,import,18.138360241637358,0.23993643125449565
311224 Soybean Oil & Other Oilseed,export,20.24965988358641,0.195667853191747
311224 Soybean Oil & Other Oilseed,import,20.372301916870406,0.2863820747182906
311225 Margarine & Edible Fats & Oils,export,17.91699304404495,0.13609198058287408
311225 Margarine & Edible Fats & Oils,import,17.472135770732084,0.3111248280832084
31123 Breakfast Cereals,export,17.8922030550019,0.09003160059098286
31123 Breakfast Cereals,import,17.811684534266597,0.23226574917676782
311230 Breakfast Cereals,export,17.8922030550019,0.09003160059098286
311230 Breakfast Cereals,import,17.811684534266597,0.23226574917676782
3113 Sugar & Confectionery Products,export,19.337846556580857,0.1262829512694765
3113 Sugar & Confectionery Products,import,20.39277848054985,0.17503959461663682
31131 Sugars,export,17.228828635624357,0.2534998216833363
31131 Sugars,import,18.97227260891086,0.24471353384413028
31131X Sugars,export,17.228828635624357,0.2534998216833363
31131X Sugars,import,18.97227260891086,0.24471353384413028
31134 Nonchocolate Confectionery Products,export,17.9111013604116,0.1569322536162329
31134 Nonchocolate Confectionery Products,import,19.088325009884105,0.2084037433354896
311340 Nonchocolate Confectionery Products,export,17.9111013604116,0.1569322536162329
311340 Nonchocolate Confectionery Products,import,19.088325009884105,0.2084037433354896
31135 Chocolate And Confectionery,export,18.88375396888388,0.11746515697031051
31135 Chocolate And Confectionery,import,19.66313452790795,0.1720798990178363
31135X Chocolate And Confectionery From Cacao Beans Produ,export,18.88375396888388,0.11746515697031051
31135X Chocolate And Confectionery From Cacao Beans Produ,import,19.66313452790795,0.1720798990178363
3114 Fruits & Veg Preserves & Specialty Foods,export,20.068076299893608,0.0803059620354797
3114 Fruits & Veg Preserves & Specialty Foods,import,20.7223940927014,0.2047482031845224
31141 Frozen Foods,export,19.034117243374354,0.14291579849022137
31141 Frozen Foods,import,19.678580603029694,0.2248323287285736
"311411 Frozen Fruits, Juices & Vegetables",export,18.944596182948136,0.13200414029031374
"311411 Frozen Fruits, Juices & Vegetables",import,19.602924201784713,0.21937713658421643
311412 Frozen Specialty Food,export,16.541966323666454,0.33853262825039215
311412 Frozen Specialty Food,import,17.04309177688353,0.33963522058102424
31142 Fruits & Vegetables,export,19.625626079109583,0.06725939140671211
31142 Fruits & Vegetables,import,20.286571214840343,0.20209423336792887
311421 Fruits & Vegetables Preserved,export,19.30176018535145,0.0771010137833519
311421 Fruits & Vegetables Preserved,import,20.1548907957096,0.2026445290441961
311422 Specialty Canned Foods,export,17.185366809481508,0.1947278293312167
311422 Specialty Canned Foods,import,16.67775067496416,0.3742763579402667
311423 Dried & Dehydrated Foods,export,17.945926505926696,0.12854403472809336
311423 Dried & Dehydrated Foods,import,17.929699313792455,0.217633377970272
3115 Dairy Products,export,20.11353284406196,0.23377696160838915
3115 Dairy Products,import,19.493092889588613,0.25587054778223106
31151 Dairy Products (exc Frozen),export,20.076127106721767,0.23816898550371365
31151 Dairy Products (exc Frozen),import,19.45520556659117,0.241752544113469
"311511 Fluid Milk, Cream & Related Products",export,17.124782589233163,0.24166432612042812
